时间,动作,用户名,数值,余额,标记
2019-11-17T13:20:14.942,#add_diamond,mayunbaba123,-0.01,0.6044999999999998,tradesub
2019-11-17T13:20:14.942,#add_diamond,eosdappyx115,0.0095,0.019,tradeadd
2019-11-17T13:20:35.706,#add_diamond,mayunbaba123,-0.01,0.5944999999999998,tradesub
2019-11-17T13:20:35.706,#add_diamond,eosdappyx115,0.0095,0.028499999999999998,tradeadd
2019-11-17T13:20:50.215,#add_diamond,mayunbaba123,-0.01,0.5844999999999998,tradesub
2019-11-17T13:20:50.215,#add_diamond,eosdappyx115,0.0095,0.038,tradeadd
2019-11-17T13:21:04.224,#add_diamond,mayunbaba123,-0.01,0.5744999999999998,tradesub
2019-11-17T13:21:04.224,#add_diamond,eosdappyx115,0.0095,0.0475,tradeadd
2019-11-17T13:21:45.262,#add_diamond,mayunbaba123,-0.01,0.5644999999999998,tradesub
2019-11-17T13:21:45.262,#add_diamond,eosdappyx115,0.0095,0.057,tradeadd
2019-11-17T13:23:28.086,#add_diamond,mayunbaba123,-0.01,0.5544999999999998,tradesub
2019-11-17T13:23:28.087,#add_diamond,eosdappyx111,0.0095,0,tradeadd
2019-11-17T13:24:57.907,#add_diamond,mayunbaba123,-0.01,0.5444999999999998,tradesub
2019-11-17T13:24:57.907,#add_diamond,eosdappyx114,0.0095,0.019,tradeadd
2019-11-17T13:25:02.912,#add_diamond,mayunbaba123,-0.01,0.5344999999999998,tradesub
2019-11-17T13:25:02.912,#add_diamond,ykwomdfuwm4e,0.0095,0,tradeadd
2019-11-17T13:25:32.942,#add_diamond,mayunbaba123,-0.01,0.5244999999999997,tradesub
2019-11-17T13:25:32.942,#add_diamond,eosdappyx114,0.0095,0.028499999999999998,tradeadd
2019-11-17T13:25:55.462,#add_diamond,mayunbaba123,-0.01,0.5144999999999997,tradesub
2019-11-17T13:25:55.462,#add_diamond,eosdappyx114,0.0095,0.038,tradeadd
2019-11-17T13:26:23.985,#add_diamond,mayunbaba123,-0.01,0.5044999999999997,tradesub
2019-11-17T13:26:23.985,#add_diamond,eosdappyx113,0.0095,0.028499999999999998,tradeadd
2019-11-17T13:30:49.705,#add_diamond,mayunbaba123,-0.01,0.4944999999999997,tradesub
2019-11-17T13:30:49.705,#add_diamond,jiahognjian1,0.0095,0.0665,tradeadd
2019-11-17T13:32:31.036,#add_diamond,mayunbaba123,-0.01,0.4844999999999997,tradesub
2019-11-17T13:32:31.036,#add_diamond,jiahognjian1,0.0095,0.076,tradeadd
2019-11-17T13:32:36.291,#add_diamond,mayunbaba123,-0.01,0.4744999999999997,tradesub
2019-11-17T13:32:36.292,#add_diamond,eosdappyx113,0.0095,0.038,tradeadd
2019-11-17T13:32:57.812,#add_diamond,mayunbaba123,-0.01,0.4644999999999997,tradesub
2019-11-17T13:32:57.813,#add_diamond,jiahognjian1,0.0095,0.08549999999999999,tradeadd
2019-11-17T13:33:16.584,#add_diamond,mayunbaba123,-0.01,0.4544999999999997,tradesub
2019-11-17T13:33:16.584,#add_diamond,jiahognjian1,0.0095,0.09499999999999999,tradeadd
2019-11-17T13:33:35.598,#add_diamond,mayunbaba123,-0.01,0.4444999999999997,tradesub
2019-11-17T13:33:35.598,#add_diamond,jiahognjian1,0.0095,0.10449999999999998,tradeadd
2019-11-17T13:35:04.433,#add_diamond,mayunbaba123,-0.01,0.43449999999999966,tradesub
2019-11-17T13:35:04.433,#add_diamond,sochsydhhdnf,0.0095,0,tradeadd
2019-11-17T14:54:58.761,#add_diamond,majinlin1234,-0.01,1.117899999999994,tradesub
2019-11-17T14:54:58.761,#add_diamond,wll22galahad,0.0095,0.019000000000000128,tradeadd
2019-11-17T14:55:10.267,#add_diamond,majinlin1234,-0.01,1.107899999999994,tradesub
2019-11-17T14:55:10.268,#add_diamond,a1b2c3d4cjq5,0.0095,0.057,tradeadd
2019-11-17T14:55:12.269,#add_diamond,majinlin1234,-0.01,1.0978999999999939,tradesub
2019-11-17T14:55:12.269,#add_diamond,moxianw55555,0.0095,0,tradeadd
2019-11-17T15:09:08.526,#add_diamond,fenghuo11111,-0.3,25.4974,tradesub
2019-11-17T15:09:08.526,#add_diamond,showtimetome,0.285,0.1093,tradeadd
2019-11-17T15:10:11.082,#add_diamond,fenghuo11114,-0.05,0.7999000000000023,tradesub
2019-11-17T15:10:11.083,#add_diamond,fenghuo11111,0.0475,25.1974,tradeadd
2019-11-17T15:10:40.853,#add_diamond,fenghuo11114,-0.05,0.7499000000000022,tradesub
2019-11-17T15:10:40.853,#add_diamond,fenghuo11111,0.0475,25.244899999999998,tradeadd
2019-11-17T15:11:43.405,#add_diamond,fenghuo11114,-0.05,0.6999000000000022,tradesub
2019-11-17T15:11:43.405,#add_diamond,fenghuo11113,0.0475,14.8949,tradeadd
2019-11-17T15:11:47.656,#add_diamond,fenghuo11114,-0.29,0.6499000000000021,tradesub
2019-11-17T15:11:47.656,#add_diamond,dashouge5555,0.27549999999999997,0.47599999999999953,tradeadd
2019-11-17T15:13:21.482,#add_diamond,fenghuo11112,-0.01,0.7999000000000009,tradesub
2019-11-17T15:13:21.482,#add_diamond,fenghuo11111,0.0095,25.292399999999997,tradeadd
2019-11-17T15:13:27.485,#add_diamond,fenghuo11112,-0.01,0.7899000000000009,tradesub
2019-11-17T15:13:27.485,#add_diamond,fenghuo11111,0.0095,25.301899999999996,tradeadd
2019-11-17T15:13:30.487,#add_diamond,fenghuo11112,-0.01,0.7799000000000009,tradesub
2019-11-17T15:13:30.487,#add_diamond,fenghuo11114,0.0095,0.35990000000000216,tradeadd
2019-11-17T15:15:00.810,#add_diamond,fenghuo11112,-0.05,0.7699000000000009,tradesub
2019-11-17T15:15:00.811,#add_diamond,fenghuo11114,0.0475,0.36940000000000217,tradeadd
2019-11-17T15:15:42.342,#add_diamond,fenghuo11112,-0.01,0.7199000000000009,tradesub
2019-11-17T15:15:42.342,#add_diamond,fenghuo11114,0.0095,0.41690000000000216,tradeadd
2019-11-17T15:15:44.343,#add_diamond,fenghuo11112,-0.01,0.7099000000000009,tradesub
2019-11-17T15:15:44.343,#add_diamond,fenghuo11111,0.0095,25.311399999999995,tradeadd
2019-11-17T15:15:46.594,#add_diamond,fenghuo11112,-0.01,0.6999000000000009,tradesub
2019-11-17T15:15:46.594,#add_diamond,fenghuo11115,0.0095,0.8949000000000009,tradeadd
2019-11-17T15:42:44.315,#add_diamond,showtimetome,-0.39,0.3943,unexchange
2019-11-17T19:31:21.052,#add_diamond,y,-0.01,0.24749999999999966,tradesub
2019-11-17T19:31:21.052,#add_diamond,sqtkctkc513y,0.0095,0,tradeadd
2019-11-17T19:31:27.809,#add_diamond,y,-0.01,0.23749999999999966,tradesub
2019-11-17T19:31:27.809,#add_diamond,meetonetkc11,0.0095,0.027999999999999997,tradeadd
2019-11-17T19:37:11.634,#add_diamond,y,-0.01,0.22749999999999965,tradesub
2019-11-17T19:37:11.634,#add_diamond,525252kemina,0.0095,0.12849999999999998,tradeadd
2019-11-17T23:44:48.771,#add_diamond,majinlin1234,-0.01,1.0878999999999939,tradesub
2019-11-17T23:44:48.771,#add_diamond,xiaohan13555,0.0095,0.028499999999999956,tradeadd
2019-11-17T23:44:50.773,#add_diamond,majinlin1234,-0.01,1.0778999999999939,tradesub
2019-11-17T23:44:50.774,#add_diamond,dai555555555,0.0095,0.019,tradeadd
2019-11-17T23:44:54.527,#add_diamond,majinlin1234,-0.01,1.0678999999999939,tradesub
2019-11-17T23:44:54.527,#add_diamond,1wwwwwww1,0.0095,0.019,tradeadd
2019-11-17T23:44:56.782,#add_diamond,majinlin1234,-0.01,1.0578999999999938,tradesub
2019-11-17T23:44:56.782,#add_diamond,popplotmore1,0.0095,0.019,tradeadd
2019-11-17T23:44:59.535,#add_diamond,majinlin1234,-0.01,1.0478999999999938,tradesub
2019-11-17T23:44:59.535,#add_diamond,555555555125,0.0095,0.0095,tradeadd
2019-11-17T23:45:01.534,#add_diamond,majinlin1234,-0.01,1.0378999999999938,tradesub
2019-11-17T23:45:01.534,#add_diamond,12345yes1,0.0095,0.0095,tradeadd
2019-11-17T23:45:05.289,#add_diamond,majinlin1234,-0.01,1.0278999999999938,tradesub
2019-11-17T23:45:05.289,#add_diamond,1234512345ye,0.0095,0.0095,tradeadd
2019-11-17T23:47:54.960,#add_diamond,majinlin1234,-0.01,1.0178999999999938,tradesub
2019-11-17T23:47:54.960,#add_diamond,falwlrgw1,0.0095,0.074,tradeadd
2019-11-17T23:47:56.961,#add_diamond,majinlin1234,-0.01,1.0078999999999938,tradesub
2019-11-17T23:47:56.961,#add_diamond,222111222,0.0095,0.028499999999999998,tradeadd
2019-11-17T23:47:58.963,#add_diamond,majinlin1234,-0.01,0.9978999999999938,tradesub
2019-11-17T23:47:58.963,#add_diamond,mengmeng5,0.0095,0.0375,tradeadd
2019-11-17T23:48:00.964,#add_diamond,majinlin1234,-0.01,0.9878999999999938,tradesub
2019-11-17T23:48:00.964,#add_diamond,12345aabbzzz,0.0095,0.67,tradeadd
2019-11-17T23:48:02.713,#add_diamond,majinlin1234,-0.01,0.9778999999999938,tradesub
2019-11-17T23:48:02.714,#add_diamond,a1b2c3d4cjq5,0.0095,0.0665,tradeadd
2019-11-17T23:50:26.838,#add_diamond,majinlin1234,-0.01,0.9678999999999938,tradesub
2019-11-17T23:50:26.839,#add_diamond,kemina111111,0.0095,0.11899999999999997,tradeadd
2019-11-17T23:50:31.095,#add_diamond,majinlin1234,-0.01,0.9578999999999938,tradesub
2019-11-17T23:50:31.095,#add_diamond,denghao11,0.0095,0,tradeadd
2019-11-17T23:50:33.598,#add_diamond,majinlin1234,-0.01,0.9478999999999937,tradesub
2019-11-17T23:50:33.598,#add_diamond,a1b2c3d4cjq5,0.0095,0.076,tradeadd
2019-11-17T23:50:36.607,#add_diamond,majinlin1234,-0.01,0.9378999999999937,tradesub
2019-11-17T23:50:36.607,#add_diamond,ryin52rita52,0.0095,9.217999999999996,tradeadd
2019-11-17T23:50:40.109,#add_diamond,majinlin1234,-0.01,0.9278999999999937,tradesub
2019-11-17T23:50:40.110,#add_diamond,kemina525252,0.0095,0.10949999999999997,tradeadd
2019-11-17T23:50:42.862,#add_diamond,majinlin1234,-0.01,0.9178999999999937,tradesub
2019-11-17T23:50:42.862,#add_diamond,asb12345oooo,0.0095,0,tradeadd
2019-11-17T23:51:10.633,#add_diamond,majinlin1234,-0.01,0.9078999999999937,tradesub
2019-11-17T23:51:10.633,#add_diamond,aaaaaaaa5,0.0095,0.019,tradeadd
2019-11-17T23:51:16.137,#add_diamond,majinlin1234,-0.01,0.8978999999999937,tradesub
2019-11-17T23:51:16.137,#add_diamond,aaaaaaaa5,0.0095,0.019,tradeadd
2019-11-17T23:51:21.144,#add_diamond,majinlin1234,-0.01,0.8878999999999937,tradesub
2019-11-17T23:51:21.145,#add_diamond,falwlrgw1,0.0095,0.08349999999999999,tradeadd
2019-11-17T23:51:58.677,#add_diamond,majinlin1234,-0.01,0.8778999999999937,tradesub
2019-11-17T23:51:58.677,#add_diamond,delgyddelgyd,0.0095,0.076,tradeadd
2019-11-17T23:52:00.429,#add_diamond,majinlin1234,-0.01,0.8678999999999937,tradesub
2019-11-17T23:52:00.430,#add_diamond,lijiahao2222,0.0095,0,tradeadd
2019-11-17T23:52:02.431,#add_diamond,majinlin1234,-0.01,0.8578999999999937,tradesub
2019-11-17T23:52:02.431,#add_diamond,ymmcwj555555,0.0095,9.175999999999993,tradeadd
2019-11-17T23:52:04.181,#add_diamond,majinlin1234,-0.01,0.8478999999999937,tradesub
2019-11-17T23:52:04.181,#add_diamond,eoseos123,0.0095,0.019,tradeadd
2019-11-17T23:52:06.181,#add_diamond,majinlin1234,-0.01,0.8378999999999936,tradesub
2019-11-17T23:52:06.181,#add_diamond,123321123,0.0095,0.019,tradeadd
2019-11-17T23:52:08.434,#add_diamond,majinlin1234,-0.01,0.8278999999999936,tradesub
2019-11-17T23:52:08.434,#add_diamond,mttttttttttm,0.0095,0.019,tradeadd
